floy_id,pit_id,species,mussel_id
Y031Y032,,AMPL,Y031Y032-AMPL
Y031Y032,,AMPL,Y031Y032-AMPL
Y033,3DD.003C0032AA,QUHO,Y033-QUHO
Y033Y025,3DD.003C07F85C,QUHO,Y033Y025-QUHO
Y034,3DD.003C00328A,QUHO,Y034-QUHO
Y034Y026,3DD.003D2D2DF5,QUHO,Y034Y026-QUHO
Y035,3DD.003C0032A2,QUHO,Y035-QUHO
Y036,3DD.003C00326C,QUHO,Y036-QUHO
Y037,3DD.003C003295,QUHO,Y037-QUHO
Y038,3DD.003C003287,QUHO,Y038-QUHO
Y039,3DD.003C003280,QUHO,Y039-QUHO
Y040,3DD.003C003282,QUHO,Y040-QUHO
Y040Y041,,AMPL,Y040Y041-AMPL
Y040Y041,,AMPL,Y040Y041-AMPL
Y041,3DD.003C003284,QUHO,Y041-QUHO
Y042,3DD.003C003281,QUHO,Y042-QUHO
Y042Y012,3DD.003C07F8D7,QUPE,Y042Y012-QUPE
Y043,3DD.003C00328B,QUHO,Y043-QUHO
Y043,3D6.00188BD5F1,QUHO,Y043-QUHO
Y044,3DD.003C00327C,QUHO,Y044-QUHO
Y000Y001Y045,3DD.003C003271,QUHO,Y000Y001Y045-QUHO
Y000Y001Y045,3DD.003C003271,QUHO,Y000Y001Y045-QUHO
Y046,3DD.003C0032BD,QUHO,Y046-QUHO
Y047,3DD.003C003273,QUHO,Y047-QUHO
Y048,3DD.003C0032C7,QUHO,Y048-QUHO
Y049,3DD.003C00329D,QUHO,Y049-QUHO
Y050,3DD.003C0032B9,QUHO,Y050-QUHO
Y051,3DD.003C0032A3,QUPE,Y051-QUPE
